Name,Group,Morphology,SF status,Diameter (pc),Diameter (ly),Luminosity (☉),Luminosity (L*),AGN Type,AGN Fraction,Eddington Mass,Distance (pc),App. Magnitude,Diameter ('),Ellipticity,"SB (mag/"")",Design Details,∆x (pc),∆y (pc),∆z (pc)
Sarcodes,Strelitzia Group,SA(s)bc pec,Firestorm,28445,"92,775",7.40E+10,5.235,Radio-loud QSO,532.41,1.23E+09,2.75E+05,-0.15,354.48,0.3,22.35,ULIRG + 1.2Gsun quasar,-2.48E+05,3.32E+04,1.15E+05
Typhonium,Strelitzia Group,SA(s)dm pec,Firestorm,23101,"75,345",5.90E+10,4.174,Radio-quiet QSO,244.13,4.50E+08,3.05E+05,0.33,259.57,0.6,21.54,extreme DSFG + quasar,-2.83E+05,-1.80E+03,1.15E+05
Strelitzia,Strelitzia Group,SA(rs)cd,Elevated,49011,"159,852",1.73E+10,1.224,NLSy1,2.474,1.34E+06,1.00E+06,4.23,168.35,0.67,24.30,low DM,0.00E+00,0.00E+00,0.00E+00
Calathea,Strelitzia Group,SAB(rs)dm,Steady,11490,"37,475",1.30E+09,0.092,None,0,0.00E+00,1.47E+05,2.88,267.95,0.9,22.66,offset bulge,-5.42E+04,1.30E+05,4.22E+04
Hydnora,Strelitzia Group,(R)SAB(rs)ab,Rejuvenating,29226,"95,322",7.50E+09,0.531,None,0,0.00E+00,4.31E+05,3.31,232.81,0,25.28,dead outer ring,2.64E+05,-2.51E+05,-2.30E+05
Ancylonema,Strelitzia Group,IA(s)m,Firestorm,5517,"17,994",7.50E+08,0.053,HII nucleus,0.018,4.22E+02,3.70E+05,5.48,51.29,0,24.17,LAE starburst dirr,2.62E+05,-2.30E+05,-1.22E+05
Geniculus,Strelitzia Group,Amorphous,Firestorm,7724,"25,192",1.27E+09,0.090,None,0,0.00E+00,4.06E+05,5.12,65.32,0.5,23.58,mini antennae LAE,2.54E+05,-2.61E+05,-1.80E+05
Mesotaenium,Camellia Group,IA(s)m,Firestorm,2440,"7,958",4.52E+08,0.032,None,0,0.00E+00,1.00E+06,8.19,8.39,0.67,21.74,nebula-shrouded LAE,-2.50E+05,-1.22E+05,1.23E+05
Larix,Camellia Group,SA(rs)b,Elevated,35994,"117,397",1.16E+10,0.821,None,0,0.00E+00,1.00E+06,4.67,123.68,0.67,24.06,inflated thin disk,-2.01E+05,4.45E+05,-2.23E+05
Arceuthobium,Camellia Group,SAB(s)0,Quenched,9033,"29,462",7.11E+08,0.050,None,0,0.00E+00,1.00E+06,7.70,31.05,0.75,23.79,well-formed dS0,-2.10E+05,4.63E+05,-2.25E+05
Paris,Camellia Group,Amorphous,Starburst,34339,"111,999",1.48E+10,1.047,Sy2,3.744,1.73E+06,3.63E+05,2.21,323.85,0.5,24.14,double helix,-2.95E+05,1.91E+05,-9.23E+04
Castanopsis,Camellia Group,SB(s)c pec,Elevated,86334,"281,584",4.63E+10,3.275,NLSy1,0.448,6.48E+05,3.90E+05,1.12,749.27,0.3,25.24,outer arms at 45°,-1.22E+05,3.40E+05,-1.46E+05
Mitrastemon,Camellia Group,SB(r)0a pec,Anemic,15291,"49,873",5.89E+09,0.417,LINER,0.1029,1.89E+04,3.97E+05,3.40,132.32,0.75,22.64,dead outside ring,-1.22E+05,3.20E+05,-2.01E+05
Camellia,Camellia Group,SB(rs)cd pec,Starburst,24775,"80,805",8.99E+09,0.636,None,0,0.00E+00,1.00E+06,4.95,85.15,0.8,22.98,one-sided 2-arm,0.00E+00,0.00E+00,0.00E+00
Pyrenaria,Camellia Group,SA(s)ab pec,Steady,21220,"69,210",5.09E+09,0.360,None,0,0.00E+00,6.23E+04,-0.46,"1,128.18",0.9,22.43,offset H and stars,-4.04E+04,-4.15E+04,2.30E+04
Cephaleuros,Camellia Group,SB(s)a pec,Quenched,10118,"33,000",2.37E+09,0.168,None,0,0.00E+00,8.47E+04,1.03,408.93,0,24.22,totally dead SB,-7.50E+04,2.11E+04,-3.30E+04
Adromischus,Camellia Group,SAB(rs)bc,Steady,13556,"44,214",4.30E+09,0.304,Sy1.2/LINER,2.585,3.47E+05,2.61E+05,2.83,178.56,0.67,23.02,lens w 'eyelashes',6.46E+04,-2.44E+05,6.54E+04
Tylecodon,Camellia Group,SA(s)b pec,Steady,17840,"58,186",5.31E+09,0.376,None,0,0.00E+00,2.50E+05,2.50,245.24,0.9,22.09,true polar ring S,9.22E+04,-2.31E+05,2.23E+04
Entada,Camellia Group,SA(s)cd,Starburst,25809,"84,178",6.67E+09,0.472,HII nucleus,0.0484,1.01E+04,5.00E+05,3.77,177.18,0.75,23.64,spiral in a spiral,2.79E+05,-3.44E+05,2.33E+05
Phanera,Camellia Group,SA(s)d,Starburst,22959,"74,882",6.92E+09,0.490,HII nucleus,0.0328,7.09E+03,4.80E+05,3.64,164.27,0.75,23.34,arm-only S,2.73E+05,-3.40E+05,2.01E+05
Vicia,Camellia Group,SAB(s)dm,Elevated,12759,"41,614",1.32E+09,0.093,HII nucleus,0.0716,2.95E+03,5.17E+05,5.59,84.89,0.9,22.87,post-clump cluster,2.74E+05,-3.54E+05,2.58E+05
Geoglossum,Camellia Group,IA(s)m,Steady,4439,"14,478",2.11E+08,0.015,None,0,0.00E+00,5.69E+05,7.79,26.83,0.2,24.83,dust-blackened,3.90E+05,-3.22E+05,2.60E+05
Ramaria,Camellia Group,IAB(s)m,Anemic,5292,"17,260",4.42E+08,0.031,None,0,0.00E+00,2.95E+05,5.57,61.66,0.5,23.90,creamy,-2.94E+05,-2.05E+04,1.34E+04
Lentaria,Camellia Group,IA(s)m/dSph,Anemic,3340,"10,894",1.42E+08,0.010,None,0,0.00E+00,3.64E+05,7.26,31.54,0,24.88,pale,-2.44E+05,-2.24E+05,1.51E+05
Clavicorona,Camellia Group,IA(s)m,Elevated,4483,"14,622",1.34E+08,0.009,None,0,0.00E+00,4.34E+05,7.70,35.48,0.5,24.84,crown jellyfish,-2.03E+05,-3.42E+05,1.74E+05
Sparassis,Camellia Group,IA(s)m,Elevated,5455,"17,792",7.16E+08,0.051,None,0,0.00E+00,5.03E+05,6.20,37.29,0.67,22.99,tadpole,-1.13E+05,-4.56E+05,1.80E+05
Cyttaria,Camellia Group,IA(s)m,Elevated,5202,"16,967",4.33E+08,0.031,None,0,0.00E+00,7.32E+05,7.56,24.43,0,24.64,bubbly mess,-1.94E+05,6.44E+05,-2.88E+05
Pilobolus,Heliomeris Group,E1,Terminal,3340,"10,894",2.32E+09,0.164,None,0,0.00E+00,2.43E+05,3.35,47.21,0,21.85,compact white dE,-3.44E+04,1.40E+05,-1.96E+05
Pterula,Heliomeris Group,IA(s)m,Starburst,4679,"15,261",1.32E+09,0.093,None,0,0.00E+00,2.52E+05,4.03,63.94,0.75,21.69,glittery,6.42E+03,2.50E+05,2.20E+04
Cladogonium,Heliomeris Group,SA(s)c pec,Firestorm,31019,"101,170",4.17E+10,2.953,Sy1,1.527,1.99E+06,3.21E+05,0.81,331.01,0,23.55,ULIRG merger S,2.03E+05,-1.95E+05,1.54E+05
Antiaris,Heliomeris Group,E1 pec,Terminal,28315,"92,351",9.69E+09,0.685,None,0,0.00E+00,2.86E+05,2.15,338.80,0.2,24.69,"ES, strong dust ring",2.01E+05,1.54E+05,-1.33E+05
Palaqium,Heliomeris Group,SA(r)0,Terminal,24668,"80,456",1.11E+10,0.785,None,0,0.00E+00,3.96E+05,2.70,213.89,0,24.49,gently ridged S0,-2.30E+05,-2.25E+05,2.31E+05
Maihuenia,Heliomeris Group,(RR')SB(r)a,Anemic,28725,"93,688",4.41E+09,0.312,Sy1/HII nucleus,2.385,3.29E+05,2.92E+05,3.05,336.64,0.5,25.07,double bar/ring S0,-1.43E+05,2.23E+04,2.54E+05
Rozella,Heliomeris Group,IAB(s)m,Firestorm,7728,"25,205",1.52E+09,0.108,None,0,0.00E+00,6.43E+05,5.92,41.29,0.67,22.93,distorted clumpy I,-4.50E+05,2.23E+05,-4.02E+05
Heliomeris,Heliomeris Group,SB(rs)cd,Steady,123446,"402,627",2.01E+11,14.219,None,0,0.00E+00,1.00E+06,1.57,422.24,0.5,24.08,small Helianthus,0.00E+00,0.00E+00,0.00E+00
Heliconia,Heliomeris Group,SAB(s)bc,Steady,61687,"201,196",7.00E+10,4.952,Sy2,1.74,3.81E+06,6.13E+05,1.65,345.00,0,24.48,HII/dust red S,-3.22E+05,-5.05E+05,-1.30E+05
Epiphyllum,Heliomeris Group,SAB(r)d,Steady,39363,"128,385",9.20E+09,0.651,FRII BLRG,10.66,3.06E+06,6.30E+05,3.92,214.63,0,25.71,resonance rings + 2 arms,4.24E+05,3.98E+05,2.41E+05
Leucadendron,Heliomeris Group,SB(rs)b pec,Starburst,24206,"78,949",8.23E+09,0.582,Sy1.5,0.331,8.51E+04,6.03E+05,3.94,137.99,0,24.77,large edge clumps,1.41E+05,5.43E+05,-2.20E+05
Meliosma,Heliomeris Group,SB(s)m,Steady,5336,"17,404",1.39E+08,0.010,None,0,0.00E+00,5.41E+05,8.14,33.91,0,25.92,stellar core + HIIs,1.41E+05,5.00E+05,-1.50E+05
Embelia,Heliomeris Group,SB(r)b pec,Elevated,30202,"98,506",8.59E+09,0.608,Sy2,0.12,3.22E+04,3.50E+05,2.72,295.86,0.9,22.70,hopper distortion,-2.24E+05,2.03E+05,1.76E+05
Pycnosorus,Heliomeris Group,SA(s)ab pec,Elevated,11027,"35,965",8.55E+09,0.605,NLSy1,5.776,1.54E+06,3.60E+05,2.78,105.34,0.5,22.27,eccentric ring,-2.50E+05,2.04E+05,1.59E+05
Espostoa,Heliomeris Group,E3,Quenched,15761,"51,405",3.79E+09,0.268,None,0,0.00E+00,1.59E+05,1.89,340.30,0.5,23.93,dust near nucleus,-4.41E+04,2.50E+04,1.50E+05
Arachis,Heliomeris Group,(R')SAB(r)ab,Steady,11774,"38,402",2.67E+09,0.189,None,0,0.00E+00,1.76E+05,2.50,229.08,0.5,23.68,backwards core,1.34E+05,-4.40E+04,-1.06E+05
Echeveria,Heliomeris Group,(RR)SA(r)a,Rejuvenating,24553,"80,081",1.23E+10,0.870,Sy2,0.337,1.30E+05,3.79E+05,2.50,222.67,0,24.37,many rings,5.91E+03,-3.51E+05,1.41E+05
Langsdorffia,Heliomeris Group,SB(r)c,Elevated,56334,"183,737",1.63E+10,1.153,Sy1/HII nucleus,0.858,4.37E+05,6.23E+05,3.27,310.20,0,25.86,misaligned bars,-2.01E+05,-5.50E+05,2.10E+05
Anthemis,Heliomeris Group,(R')SA(r)bc,Steady,31636,"103,183",1.32E+10,0.934,None,0,0.00E+00,6.06E+05,3.44,179.45,0.3,24.46,pseudoring SA,5.61E+05,2.23E+05,-5.20E+04
Liriodendron,Heliomeris Group,SA(s)c pec,Firestorm,15300,"49,902",1.04E+10,0.739,HII nucleus,0.1019,3.32E+04,4.83E+05,3.20,108.96,0,23.52,spiral DSFG,-2.75E+05,3.00E+05,2.59E+05
Agathis,Heliomeris Group,IAB(s)m pec,Starburst,2019,"6,585",2.32E+09,0.164,None,0,0.00E+00,4.72E+05,4.79,14.70,0.5,20.01,extreme bcd,-2.61E+05,3.00E+05,2.55E+05
Ankistrodesmus,Heliomeris Group,SAB(r)ab pec,Enhanced,18889,"61,608",1.04E+10,0.737,Radio-quiet QSO,1056.4,3.44E+08,6.46E+05,3.84,100.42,0.8,22.23,giant quasar echo,-3.40E+05,4.45E+05,3.23E+05
Fraxinus,Genista Group,SB(s)c pec,Enhanced,77058,"251,329",1.10E+10,0.778,Sy1.9,0.333,1.14E+05,1.00E+06,4.73,264.38,0.9,24.47,universally SF'ing,-5.02E+05,-1.90E+05,1.91E+05
Buchnera,Genista Group,SA(r)0a pec,Rejuvenating,10105,"32,958",1.47E+09,0.104,NLSy1,0.857,3.94E+04,1.00E+06,6.91,34.74,0.3,24.36,accreting ring S0,-5.61E+05,-1.79E+05,1.84E+05
Lysiana,Genista Group,SA(s)ab pec,Starburst,39073,"127,439",1.91E+10,1.351,NLSy1/LINER,0.118,7.04E+04,1.00E+06,4.13,134.25,0.9,22.40,thin disk-less,-2.42E+05,-3.04E+05,2.30E+05
Amyema,Genista Group,SA(rs)ab pec,Starburst,34441,"112,331",1.45E+10,1.026,NLSy1,0.114,5.17E+04,1.00E+06,4.43,118.35,0.9,22.43,M82-like outflow,-2.42E+05,-3.05E+05,2.14E+05
Retama,Genista Group,SB(s)dm,Elevated,10159,"33,134",1.13E+09,0.080,None,0,0.00E+00,2.33E+05,4.03,149.98,0.2,24.80,short rod arms,1.42E+05,1.30E+05,-1.30E+05
Marrubium,Genista Group,IA(s)m,Elevated,7559,"24,654",9.10E+08,0.064,None,0,0.00E+00,2.26E+05,4.20,114.94,0,24.64,offset hole in disk,1.40E+05,1.45E+05,-1.02E+05
Genista,Genista Group,SAB(s)dm pec,Elevated,9044,"29,498",1.35E+09,0.095,None,0,0.00E+00,1.00E+06,7.00,31.09,0.1,24.49,triangle distorted S,0.00E+00,0.00E+00,0.00E+00
Ballota,Genista Group,IAB(s)m,Elevated,4812,"15,695",5.50E+08,0.039,None,0,0.00E+00,3.87E+04,0.91,425.82,0.3,23.81,amorphous SMC Irr,3.12E+04,2.20E+04,5.92E+03
Acineta,Genista Group,SAB(rs)c pec,Elevated,62889,"205,116",1.45E+10,1.026,Sy1.2,5.44,2.47E+06,1.00E+06,4.43,215.91,0.8,24.48,smeared arms,1.30E+05,4.30E+05,-2.51E+05
Cyrtopodium,Genista Group,SB(s)b pec,Rejuvenating,17764,"57,938",6.09E+09,0.431,Sy2/HII nucleus,22.91,4.36E+06,1.00E+06,5.37,61.06,0.2,24.19,accreting red S,1.30E+05,3.84E+05,-2.40E+05
Odontoglossum,Genista Group,SAB(rs)0,Quenched,22438,"73,183",7.89E+09,0.558,None,0,0.00E+00,1.00E+06,5.09,77.12,0.8,22.91,outer-ring S0,1.68E+05,4.68E+05,-2.53E+05
Lunularia,Genista Group,IA(s)m,Steady,2239,"7,303",3.52E+07,0.002,None,0,0.00E+00,1.00E+06,10.96,7.70,0.33,25.10,propagating envelope,-1.43E+05,-5.68E+04,1.57E+05
Dacrycarpus,Genista Group,IAB(s)m,Steady,2048,"6,680",7.13E+07,0.005,None,0,0.00E+00,1.00E+06,10.20,7.04,0.2,24.33,tears,2.23E+04,-1.34E+05,1.50E+05
Pherosphaera,Genista Group,dSph/IA(s)m,Steady,1746,"5,695",4.38E+07,0.003,None,0,0.00E+00,1.00E+06,10.73,6.00,0.2,24.51,dSph transitional,2.45E+05,2.89E+05,-1.76E+05
Phyllocladus,Genista Group,IB(s)m,Steady,5991,"19,540",3.74E+08,0.026,None,0,0.00E+00,1.00E+06,8.40,20.60,0.67,23.90,amorphous disk,3.46E+05,4.22E+05,-2.26E+05
Lepidothamnus,Genista Group,IB(s)m,Steady,5448,"17,769",3.67E+08,0.026,None,0,0.00E+00,1.00E+06,8.42,18.73,0.75,23.41,amorphous disk,3.40E+05,4.01E+05,-2.21E+05
Manoao,Genista Group,IA(s)m,Steady,3236,"10,554",2.14E+08,0.015,None,0,0.00E+00,1.00E+06,9.01,11.12,0.67,23.17,tadpole,-2.67E+05,-2.00E+05,-2.00E+05
Selenastrum,Balanophora Group,Amorphous,Starburst,37741,"123,095",2.16E+10,1.528,Sy1 + Sy1,0,0.00E+00,1.00E+06,3.99,129.68,0.75,23.19,amorphous merger,,,
Tetrabaena,Balanophora Group,SA(s)a pec,Starburst,22761,"74,236",1.05E+10,0.739,NLSy1,0.464,1.52E+05,1.00E+06,4.78,78.23,0.9,21.88,mayall's outflow,,,
Gonium,Balanophora Group,SA(s)dm pec,Starburst,27666,"90,234",5.45E+09,0.386,None,0,0.00E+00,1.00E+06,5.49,95.08,0.3,25.13,mayall's disintegrating,,,
Tulostoma,Balanophora Group,SAB(rs)c pec,Starburst,49154,"160,319",5.51E+10,3.898,Sy1.8,1.741,3.00E+06,1.00E+06,2.98,168.84,0.2,24.01,distorted ULIRG,,,
Mycocalia,Balanophora Group,SB(r)a pec,Starburst,23464,"76,529",7.60E+09,0.538,Sy1,2.383,5.66E+05,1.00E+06,5.13,80.65,0.5,24.04,six cores,,,
Geosiris,Balanophora Group,SB(s)b,Starburst,30660,"99,999",8.43E+09,0.596,None,0,0.00E+00,1.00E+06,5.02,105.37,0.67,24.06,starburst,,,
Soridium,Balanophora Group,SA(r)c pec,Starburst,82101,"267,777",5.43E+10,3.841,None,0,0.00E+00,1.00E+06,2.99,281.61,0,25.37,subdued starburst,,,
Leptomeria,Balanophora Group,SAB(s)cd,Steady,20504,"66,875",6.60E+09,0.467,None,0,0.00E+00,1.00E+06,5.28,70.48,0.33,24.22,pencil-thin arms,,,
Datura,Balanophora Group,(R')SB(r)d,Steady,53680,"175,081",2.06E+10,1.457,Sy1,1.38,8.88E+05,1.00E+06,4.05,184.36,0,25.51,toxic,,,
Orectanthe,Balanophora Group,(R')SA(s)c,Steady,33333,"108,718",1.40E+10,0.990,None,0,0.00E+00,1.00E+06,4.46,114.55,0.75,23.39,spiky and dense,,,
Triphysaria,Balanophora Group,SAB(rs)bc,Steady,23566,"76,862",7.64E+09,0.540,Sy2,2.373,5.67E+05,1.00E+06,5.12,81.00,0.1,24.68,strong inner lens,,,
